Year,Author,Journal ,Title,Article Definition,Procedural Definition Coder 1,Process Definintion Coder 1,Unsure Coder 1,Procedural Definition Coder 2,Process Definintion Coder 2,Unsure Coder 2,Include,Notes
1970,"Leitenberg, H., Rawson, R. A., & Bath, K.",Science Magazine,Reinforcement of Competing Behavior during Extinction. , ,,,,,,,0,Exclude (no definition/description)
1972,"Enkema, S., Slavin, R., Spaeth, C., Neuringer, A.",Psychonomic Science,Extinction in the presence of free food,"Leitenberg et al. found that, under these conditions, responses to the first level extinguished more rapidly than under the control condition. However, when reinforcement for the alternative response was discontinued, the animals returned to the first lever and emitted approximately the same total number of extinction responses as was emitted by a control group. Thus, reinforcing an alternative response facilitated extinction of the original response, but the facilitation was temporary.",,1,,,1,,1,
1973,"Rawson, R. A., & Leitenberg, H.",Journal of Comparative and Physiological Psychology,Reinforced alternative behavior during punishment and extinction with rats,"It was oberved that as long as reinforcement for an alternative response was maintained, extinction of the original response appeared to be more rapid and complete, but when such reinforcment of alternative behavior was discontinued, the original response was resumed",,1,,,1,,1,
1975,"Leitenberg, H., Rawson, R. A., & Mulick, J. A.",Journal of Comparative and Physiological Psychology,Extinction and reinforcement of alternative behavior.,"Although extinction of the original response appeared to be more rapid and complete as a result of simultaneously reinforcing competing behavior, this suppression was not sustained when reinforcement of the competing behavior was discontinued. Instead, the original response recovered and underwent the normal extinction process without any substantial reduction in the total number of extinction responses resulting from the prior reinforced alternative response experience. ",,,,,,,0,Exclude (description of results from a prior study)
1976,"Mulick, J.A., Leitenberg, H., Rawson, R.A.,",Journal of the Experimental Analysis of Behavior,"ALTERNATIVE RESPONSE TRAINING, DIFFERENTIAL REINFORCEMENT OF OTHER BEHAVIOR, AND EXTINCTION IN SQUIRREL MONKEYS (SAIMIRI SCIUREUS)","However, when reinforcement for the competing behavior was discontinued, the original response recovered with only a relatively small net saving in extinction resulting from prior ALT-R training. ",,1,,,1,,1,
1977,"Pacitti, W. A., & Smith, N. F.",Learning and Motivation,A direct comparisonof four methods for eliminating a response,"Leitenberg et al. (1970) observed that suppression of the original response was rapid and complete as long as reinforcment for the alternative response was maintained. But, when reinforcement for the alternative response was discontinued, the origial response resumed.",,1,,,1,,1,
1977,"Rawson, R. A., Leitenberg, H., Mulick, J. A., & Lefebvre, M. F.",Animal Learning & Behavior,Recovery of extinction responding in rats following discontinuation of reinforcement of alternative behavior: A test of two explanations,"For example, discontinuation of punishment often results in some recovery of the response, even though extinction is still in effect for that response, and, when the reinforcement for an alternative behavior is discontinued, there is partial recover of the original behavior ",,1,,,1,,1,
1983,"Epstein, Robert",Behaviour Analysis Letters,Resurgence of previously reinforced behavior during extinction,"When, in a  given situation, recently reinforced  behavior is no longer reinforced,  behaviors that were previously reinforced under similar circumstances tend to recur.",,1,,,1,,1,
1988,"Pittenger, David J.; Pavlik, William B.; Flora, Steve R.; Kontos, Julie M.",Learning and Motivation,The persistence of learned behaviors in humans as a function of changes in reinforcement schedule and response,"Those alternative behaviors that have been previously reinforced in the experimental context, and which are then produced during extinction, are considered to be extinction-induced resurgent responses.",,1,,,1,,1,
1996,"Wilson, K G; Hayes, S C",Journal of the Experimental Analysis of Behavior,Resurgence of derived stimulus relations.,"The return to earlier response patterns was at first called regression, owing to the influence of Frudian theory, but recent behavioral researchers have called teh phenomenon resurgence. One common characteritic of previous demonstrations of resurgence has been that the response topographies that reappear in the subject's behavior had been shaped previously, either by programmed contingencies or by naturally occurring contingencies. ",,,1,,1,,0,
1998,"Dixon, M.R., Hayes, L.J.,",The Psychological Record,Effects of Differing Instructional Histories on the Resurgence Of Rule-Following,"Additionally, when a given behavior is reinforced and then extinguished coupled by the reinforcement of an alternative response, which is then subsequently extinguished, a partial recovery of the original behavior is observed. This observation has been called extinction-induced resurgence.",,1,,,1,,1,
2000,"Cleland, Bryce S.; Foster, T. M.; Temple, W.",Behavioural Processes,Resurgence: The role of extinction,Resurgence is the term used here to refer to this occurrence of a previously reinforced behaviour (Behaviour 1) when a more recently reinforced behaviour (Behaviour 2) is undergoing extinction. ,,1,,,1,,1,
2002,"Nakajima, S., Urushihara, K., & Masaki, T. ",Learning & Motivation,Renewal of operant performance formerly eliminated by omission or noncontingency training upon return to the acquisition context,,,,,,,,0,Exclude (Renewal)
2003,"Lieving, Gregory A; Lattal, Kennon A",Journal of the Experimental Analysis of Behavior,"Recency, repeatability, and reinforcer retrenchment: an experimental analysis of resurgence.",Previous investigations have demonstrated resurgence when reinforcement of alternative behavior is removed ,,1,,,1,,1,
2005,"Sánchez-Carrasco, Livia; Nieto, Javier",Mexican Journal of Behavior Analysis,Resurgence of Three-Response Sequences in Rats = Resurgimiento de secuencias de tres respuestas,Resurgence refers to all those behaviors that were reinforced in prior phases and that appear when there is a change in reinforcement contingencies ,,1,,,1,,1,
2006,"Podlesnik, Christopher A; Jimenez-Gomez, Corina; Shahan, Timothy A",Behavioural Pharmacology,Resurgence of alcohol seeking produced by discontinuing non-drug reinforcement as an animal model of drug relapse.,Findings from basic behavioral research suggest that simply discontinuing reinforcement for a recently reinforced operant response can cause the recurrence (i.e. resurgence) of a different previously reinforced response ,,1,,,1,,1,
2006,Reed; Phil; Morgan; Theresa A,Journal of the Experimental Analysis of Behavior,Resurgence of response sequences during extinction in rats Shows a Primacy effect,"For example, ‘‘resurgence’’ typically refers to previously established behavior that re-emerges during extinction. ",,1,,,1,,1,
2007,"Bachá-Méndez, Gustavo; Reid, Alliston K; Mendoza-Soylovna, Adela",Journal of the Experimental Analysis of Behavior,Resurgence of integrated behavioral units.,"Resurgence is observed only after the resurgent response has been exposed to a history of reinforcement, and then followed by a period of extinction (or very low reinforcement probability).",,1,,,1,,1,
2007,"Doughty, Adam H; da Silva, Stephanie P; Lattal, Kennon A",Behavioural Processes,Differential resurgence and response elimination,"Resurgence is the transient recovery of previously reinforced, but presently not reinforced, responding when more recently reinforced responding is extinguished.",,1,,,1,,1,
2007,"Kearns, D. N., Weiss, S. J.",Drug and Alcohol Dependence,Contextual renewal of cocaine seeking in rats and its attenuation by the conditioned effects of an alternative reinforcer, ,,,,,,,0,Exclude (Renwal)
2007,"Reed, Phil; Morgan, Theresa A",Learning & Behavior,Resurgence of behavior during extinction depends on previous rate of response.,"Induction techniques employ response-dependent reinforcement of another response in order to restore responding to the target, reinstatement effecst are genereated by the delivery of response-independent reinforcement, and resugence effects restore responding through the removal of contingengies that support an alternative response. ",,1,,,1,,1,
2008,da Silva; Stephanie P; Maxwell; Megan E; Lattal; Kennon A,Journal of the Experimental Analysis of Behavior,Concurrent Resurgence and Behavioral history,"The recurrence of previously reinforced responding when more recently reinforced responses are no longer effective, or resurgence, typically is studied using a sequence of three conditions. ",,1,,,1,,1,
2009,Bruzek; Jennifer L; Thompson; Rachel H; Peters; Lindsay C,Journal of the Experimental Analysis of Behavior,Resurgence of Infant Caregiving Responses,"Resurgence, the reemergence of a previously (but not currently) reinforced response when a subsequently reinforced response is placed on extinction, is understudied relative to other extinction-related phenomena (e.g., bursts, emotional behavior, spontaneous recovery)",,1,,,1,,1,
2009,"Podlesnik, Christopher A; Shahan, Timothy A",Learning & Behavior,Behavioral momentum and relapse of extinguished operant responding.,Resurgence is characterized by the reappearance of an extinguished operant response when an alternative behavior introduced during extinction is subsequently placed on extinction,,1,,,1,,1,
2010,"Doughty, Adam H.; Cash, Jeffrey D.; Finch, Elizabeth A.; Holloway, Chrisey; Wallington, Laura K.",Behavioural Processes,Effects of training history on resurgence in humans,Extinction-induced resurgence can be described as a latent history effect when resurgence in a third condition only can be understood by appealing to two preceding conditions,,,1,,1,,0,
2010,"Podlesnik, Christopher A; Shahan, Timothy A",Behavioural Processes,"Extinction, relapse, and behavioral momentum.","In the resurgence model of relapse, extinguishing a recently reinforced response results in the reoccurrence of an extinguished response that had been reinforced previously",,1,,,1,,1,
2010,"St. Peter-Pipkin, Vollmer, & Sloman",Journal of Applied Behavior Analysis,Effects of treatment integrity failures during differential reinforcement of alternative behavior: A translational model., ,,,,,,,0,Exclude (no definition/description)
2010,"Winterbauer, Neil E; Bouton, Mark E",Journal of Experimental Psychology: Animal Behavior Processes,Mechanisms of resurgence of an extinguished instrumental behavior.,"In resurgence, when a previously acquired behavior is no longer rewarded while a second, novel behavior delivers reward, subsequent extinction of that new behavior will result in recovery of the original one.",,1,,1,,,0,
2011,Cancado; Carlos R. X; Lattal; Kennon A,Journal of the Experimental Analysis of Behavior,Resurgence of Temporal Patterns of Responding,Resurgence  is  the  recurrence  of  previouslyreinforced responding when current respond-ing is no longer reinforced ,,1,,,1,,1,
2011,"Doughty, Adam H.; Kastner, Rebecca M.; Bismark, Bryan D.",Behavioural Processes,Resurgence of derived stimulus relations: Replication and extensions,Resurgence usually refers to the recovery of a previously reinforced response when a more recently reinforced response is extinguished.,,1,,,1,,1,
2011,"Quick, Stacey L; Pyszczynski, Adam D; Colston, Kelli A; Shahan, Timothy A",Neuropsychopharmacology,Loss of alternative non-drug reinforcement induces relapse of cocaine-seeking in rats: role of dopamine D(1) receptors.,"In a resurgence paradigm, animals are trained to make a target response for a reinforcer, and that response is subsequently extinguished by withholding the reinforcer. During extinction of the target response, an alternative reinforcer is made available for a second, different response. When the reinforcer for the second response is subsequently withheld, the target response reappears",1,,,1,,,1,Primarly a procedural definition; yet the process is also described with referennce to Phase 3
2011,"Reed, Phil; Clark, Charlotte",Learning & Behavior,Impact of intervening learning on resurgence in humans with Autism Spectrum Disorders.,"Resurgence may be defined as the reappearance of previously observed behavior patterns that have not recently been observed in the behavioral repertoire. Although there are variations in the experimental procedures adopted for the study of resurgence, typically, an initial behavior is established (Response 1), and then this behavior is then extinguished while a new response (Response 2) is taught. This training continues until the behavioral repertoire contains Response 2, but not Response 1. Finally, Response 2 is extinguished, and evidence concerning the re-emergence (resurgence) of Response 1 is examined. ",1,,,1,,,1,
2011,Winterbauer; Neil E; Bouton; Mark E,Learning and Motivation,Mechanisms of Resurgence II: Response-contingent reinforcers can reinstate a second extinguished Behavior,"First, in what we will call Type I resurgence, a second response is reinforced during extinction of a target response. In what we will call Type II resurgence, the original target response is extinguished before the reinforcement and extinction of the new response",,,1,,1,,0,
2012,"Marsteller, Tonya M.; St. Peter, Claire C.",Mexican Journal of Behavior Analysis,Resurgence during treatment challenges,Resurgence describes the reemergence of a previously reinforced behavior following the extinction of an alternative behavior. The conventional resurgence procedure has three phases.,,1,,,1,,1,
2012,"McHugh, Louise; Procter, Jonathan; Herzog, Michaela; Schock, Anne-Kathrin; Reed, Phil",Learning & Behavior,The effect of mindfulness on extinction and behavioral resurgence.,"Another phenomenon of relevance to the focus of the present topic (not exclusively associated with humans) is the reappearance of an apparently absent behavior in the current repertoire of an individual, when the occurrence of more recent behaviors are challenged, either by low levels of reinforcement or by extinction. This phenomenon is known as behavioral resurgence.",,1,,,1,,1,
2012,Thrailkill; Eric A; Shahan; Timothy A,Journal of the Experimental Analysis of Behavior,resistance to change and relapse of Observing,Resurgence refers to the increase of an extinguished operant response observed when extinction is introduced for a response that has been reinforced to replace it.,,1,,,1,,1,
2012,"Winterbauer, Neil E; Bouton, Mark E",Journal of Experimental Psychology: Animal Behavior Processes,Effects of thinning the rate at which the alternative behavior is reinforced on resurgence of an extinguished instrumental response.,"In this paradigm, an operant behavior (e.g., pressing one lever) is first reinforced and then extinguished. While the first behavior is undergoing extinction, a second, alternative behavior (e.g., pressing a second lever) is now trained and reinforced. When that alternative behavior is then extinguished, the first behavior returns or “resurges.” ",1,,,1,,,1,Primarly a procedural definition; yet the process is also described with referennce to Phase 3
2013,"Cançado, Carlos R X; Lattal, Kennon A",Behavioural Processes,"Response elimination, reinforcement rate and resurgence of operant behavior.","Resurgence, the occurrence of previously reinforced responding when reinforcers for current responding are discontinued",,1,,,1,,1,
2013,"Pyszczynski, Adam D; Shahan, Timothy A",Behavioural Pharmacology,Loss of nondrug reinforcement in one context produces alcohol seeking in another context.,"Within the resurgence procedure, a response (R1) is first maintained through contingent drug deliveries. Next, drug deliveries are withheld, resulting in a decrease in R1 while an alternative response (R2) is reinforced with contingent food deliveries. Finally, food reinforcers are also removed and R1 tends to increase in frequency even though drug deliveries remain unavailable.",1,,,1,,,1,Primarly a procedural definition; yet the process is also described with referennce to Phase 3
2013,"Sweeney, Mary M; Shahan, Timothy A",Journal of the Experimental Analysis of Behavior,"Effects of high, low, and thinning rates of alternative reinforcement on response elimination and resurgence.",Relapse following the removal of alternative reinforcement has been termed resurgence ,,1,,,1,,1,
2013,"Sweeney, Mary M.; Shahan, Timothy A.",Learning & Behavior,Behavioral momentum and resurgence: Effects of time in extinction and repeated resurgence tests,Resurgence is relapse that occurs following the removal of alternative reinforcement introduced during the extinction of an operant response.,,1,,,1,,1,
2013,Winterbauer; Neil E; Lucke; Sara; Bouton; Mark E,Learning and Motivation,Some Factors Modulating the strength of Resurgence After extinction of an instrumental Behavior,"Resurgence is another relapse-like recovery phenomenon that occurs after extinction in instrumental learning. In this paradigm, an operant behavior (e.g., pressing one lever) is first reinforced. Then, when that behavior undergoes extinction, a new behavior (e.g., pressing a second lever) is also reinforced. When the new behavior is then itself extinguished, the first behavior recovers or “resurges”",1,,,1,,,1,Primarly a procedural definition; yet the process is also described with referennce to Phase 3
2014,"Bouton, Mark E; Schepers, Scott T",Learning & Behavior,Resurgence of instrumental behavior after an abstinence contingency.,"In resurgence, the performance of an extinguished instrumental behavior can return when an alternative behavior is put on extinction. ",,1,,,1,,1,
2014,"da Silva, Stephanie P; Cançado, Carlos R X; Lattal, Kennon A",Behavioural Processes,"Resurgence in Siamese fighting fish, Betta splendens.","Resurgence is a type of response-recovery phenomenon that has been investigated in humans, rats, and pigeons. Characterized by the recurrence of previously reinforced behavior, it occurs when reinforcers for current, alternative responding are degraded typically by discontinuing them (i.e., extinction).",,1,,,1,,1,
